id,display_name,about_me,age,creation_date,last_access_date,location,reputation,up_votes,down_votes,views,profile_image_url,website_url
454220,Denis Bobrovnikov,,,2010-05-25 16:33:08.187 UTC,2018-05-08 19:47:36.863 UTC,,544,33,0,88,,
455667,NullColaShip,"<p>Code monkey / sysadmin, currently responsible for e-learning systems at the University of Canterbury.</p>",,2010-09-22 23:51:18.830 UTC,2019-01-18 07:51:20.830 UTC,"Christchurch, New Zealand",338,33,3,35,,
457715,jimjkelly,,,2010-09-24 20:44:45.440 UTC,2019-10-04 18:57:57.450 UTC,"Fort Collins, CO, USA",1163,54,7,42,,http://jimjkelly.info
458008,Daniel,,,2010-09-25 07:09:45.373 UTC,2015-01-25 17:44:36.403 UTC,,159,21,0,43,,
458496,jimiyash,"<p>I have been doing web development mostly in PHP/Mysql since 2006. I lived and worked in Japan from 2006 to 2011. During my time there, I picked up CakePHP and Jquery and used them for many work projects.</p>

<p>Now, I am back in Hawaii and am just learning ASP.net MVC (C#) and T-SQL. Outside of work, I am really interested in learning Swift programming language for iOS/OSX after the recent announcement at WWDC 2014.</p>",,2009-03-13 06:57:31.770 UTC,2019-06-14 00:52:32.773 UTC,Hawaii,2334,650,23,225,,
459249,Niek Schmoller,<p>Software enthusiast and all-round software developer.</p>,,2010-09-27 08:10:10.413 UTC,2019-11-28 13:01:43.647 UTC,"Enschede, Netherlands",181,163,1,27,,http://schmoller.nl
459505,Nilesh,,,2010-09-27 13:07:23.463 UTC,2019-11-28 13:41:22.243 UTC,"Pune, Maharashtra, India",797,56,0,51,,
460139,Kunal Yadav,,,2010-09-28 03:21:23.897 UTC,2019-11-27 00:47:10.550 UTC,,109,2,0,31,,http://www.sourcebit.in
461033,Harsh,"<p>Developer, Hacker, Dreamer, Foodie. Not necessarily in the same order.</p>",,2010-09-28 19:44:35.363 UTC,2019-11-28 23:48:53.113 UTC,"Bellevue, WA, USA",431,104,2,54,,http://hars.in
462002,yuvilio,,,2010-09-29 16:35:22.217 UTC,2019-11-29 16:39:46.183 UTC,,2671,810,1,82,,https://github.com/yuvilio
462760,hradac,"<p>ColdFusion 9 &amp; 10, Java, REST, JSON, HTML5, JavaScript, Foundation, Bootstrap, jQuery, Underscore.js, Backbone.js</p>",,2010-09-30 11:39:37.990 UTC,2019-11-19 16:36:47.997 UTC,United States,2055,454,2,113,,
464885,sys_debug,,,2010-10-02 23:15:31.450 UTC,2013-08-03 10:59:31.043 UTC,,3345,279,7,612,,
465333,Tomas Skäre,,,2010-10-03 19:06:17.657 UTC,2019-11-29 11:04:22.637 UTC,Sweden,76,18,0,28,,
465576,Tarun,,,2010-10-04 07:31:42.560 UTC,2018-09-17 10:39:58.953 UTC,,363,12,0,37,,
466450,Ravindra Sane,"<p>I am relatively new to JS as a primary language and want to learn. 
Rather than ask questions, I would love to learn by answering questions that others put forth.</p>

<p>Other than that, as a developer, I am language agnostic, or whatever that is supposed to mean.
(sounds like a good way to phrase noob-ness in everything)</p>",,2010-10-05 04:49:02.350 UTC,2012-11-19 13:38:22.750 UTC,,474,37,0,118,,http://yettocome
466766,Martin Alderson,,,2010-10-05 11:41:25.133 UTC,2019-08-06 20:56:35.033 UTC,,696,11,0,76,,
466903,diggingforfire,"<p><strong><em>In my minds eye, I light fires in your cities</em></strong></p>

<p>Full stack developer, mostly Microsoft tech.  Other interests include <a href=""http://en.wikipedia.org/wiki/Dune_%28novel%29"" rel=""nofollow"">scifi/fantasy</a>, <a href=""http://en.wikipedia.org/wiki/Steins;Gate"" rel=""nofollow"">silly japanese cartoons</a> and listening to <a href=""http://www.last.fm/music/Insomnium"" rel=""nofollow"">metal</a>.</p>",,2010-10-05 14:01:49.103 UTC,2018-05-09 12:26:47.377 UTC,The Netherlands,3035,259,22,313,,
467640,Michael Noyb,,,2010-10-06 06:28:27.460 UTC,2019-11-29 15:28:25.817 UTC,"Leipzig, Germany",309,79,2,46,,
468618,Brian Morearty,"<p>Ruby on Rails software engineer at Airbnb. Also love using JavaScript, jQuery, HTML+CSS.</p>",,2010-10-07 01:16:09.207 UTC,2019-11-25 22:15:01.303 UTC,"San Carlos, CA",2279,283,2,158,,http://ilikestuffblog.com/
470560,peterhil,,,2010-10-08 18:49:32.447 UTC,2019-11-28 18:26:59.847 UTC,Finland,1189,453,15,94,https://i.stack.imgur.com/8gppy.jpg,
470975,Colnaghi,,,2010-05-20 22:11:19.407 UTC,2019-11-11 21:16:17.390 UTC,"Seattle, WA, United States",383,15,3,32,,http://colnaghi.me
471673,Russian,,,2010-10-10 18:30:26.260 UTC,2019-11-30 17:00:43.633 UTC,"Moscow, Russia",893,451,0,102,,
472434,ChrFin,"<p>I'm a software developer with experience in C#, PHP, HTML, JavaScript, ActionScript, SQL and a little C, C++.</p>",,2010-10-11 15:14:48.820 UTC,2019-11-28 07:09:14.973 UTC,"Feldkirch, Österreich",19631,3228,37,2264,,http://www.finkIT.net
473259,Goozo,,,2010-10-12 11:10:46.797 UTC,2019-09-24 13:45:30.447 UTC,"Oslo, Norway",730,59,4,56,,
474010,Just a Student,,,2010-10-13 03:04:40.880 UTC,2010-10-20 17:17:14.043 UTC,,185,0,0,31,,
474125,Bhavin Rana,"<blockquote>
  <p>I, Bhavin Rana, <strong>Proffesional Web Developer</strong> | Software Programmer.</p>
</blockquote>

<p>having deep knowledge of various programming languages,
here i m sharing knowledge via Stack.</p>

<p>Areas of my interests are :
JQuery, Codeignitor, 
Wordpress, 
Jhoomla, 
CakePHP, CustomPHP, WebDesign, WebHosting &amp; All Web-Developments</p>

<p>Email: bhavinrana07@gmail.com</p>

<blockquote>
  <p><a href=""http://www.bhavinrana.com"" rel=""nofollow"">www.bhavinrana.com</a></p>
</blockquote>",,2010-10-13 06:33:22.350 UTC,2019-11-29 19:57:41.470 UTC,"Un, India",1521,130,7,634,,http://www.bhavinrana.com
474393,Peter van Kekem,"<p>Software engineer (C#, HTML5, CSS, javascript)</p>",,2010-10-13 11:26:35.917 UTC,2019-11-28 19:33:14.440 UTC,Netherlands,1038,189,3,163,,
475048,jmlv21104,<p>Systems Engineer</p>,,2010-10-13 20:55:04.597 UTC,2014-08-06 20:52:22.910 UTC,Guatemala,79,68,0,26,,http://LopezVelasquez
475238,Robbe,,,2010-10-14 01:28:31.017 UTC,2010-12-08 18:12:33.200 UTC,,271,0,0,24,,
475476,Tamas,"<p>I am just another web developer...</p>

<p>I have basic knowledge of HTML, CSS, JavaScript, JQuery, MSSQL and .NET</p>

<p>Have a nice day!</p>",,2010-10-14 07:54:46.363 UTC,2019-11-29 09:31:06.510 UTC,Romania,147,286,0,25,,http://www.smallfootprint.com
476702,Pilgerstorfer Franz,"<h1>Never stop learning!</h1>

<p>Personal:</p>

<ul>
<li>Software developer trainer since 2002</li>
<li>working on projects since 2005</li>
<li>husband, father of two wonderful kids</li>
</ul>

<p>Sites:</p>

<ul>
<li>pundt.at (<a href=""http://www.pundt.at/"" rel=""nofollow noreferrer"">www.pundt.at</a>) - <em>owner, working at</em></li>
<li>udm.at (<a href=""http://www.udm.at/"" rel=""nofollow noreferrer"">www.udm.at</a>) - <em>senior developer, working at</em></li>
<li>Berufliches Bildungs- und Rehabilitationszentrum Wien (<a href=""http://www.bbrz.at"" rel=""nofollow noreferrer"">bbrz.at</a>) - <em>teaching at</em></li>
</ul>",,2010-10-15 09:04:48.700 UTC,2019-11-30 10:22:05.227 UTC,"Vienna, Austria",7697,795,6,887,,http://www.pundt.at
476727,paj7777,,,2010-10-15 09:37:10.560 UTC,2019-11-29 10:24:52.633 UTC,,281,67,0,41,,
478159,droxey,"<p>jack of all trades, master of none, or a few or a lot, like the renaissance man.</p>",,2010-10-16 20:52:48.203 UTC,2017-04-21 12:47:01.873 UTC,"Austin, TX",74,2,0,45,,http://www.droxey.com
478786,RisingSun,,,2010-10-17 21:31:00.623 UTC,2017-11-15 08:52:14.680 UTC,,1847,12,0,27,https://www.gravatar.com/avatar/985d1a13240783cbdcd458443d6e0f10?s=128&d=identicon&r=PG&f=1,http://www.youtube.com/sunriseat2008
479524,Pixelmixer,"<p>I am a Lead Software Engineer / Front End Practice Director at EPAM Systems, living in South Carolina.</p>",,2010-10-18 16:28:26.833 UTC,2019-11-26 23:54:15.123 UTC,"Bluffton, SC, United States",311,75,17,58,,http://www.dustinjsparks.com
480021,zyanlu,,,2010-10-19 03:54:17.363 UTC,2019-05-27 09:01:13.857 UTC,,171,22,0,35,,
480605,Saleh Al-Abbas,,,2010-10-19 14:45:00.303 UTC,2012-07-24 18:30:03.027 UTC,,155,121,0,16,,
480691,ahodder,<p>I'm a derp who derps with herps in hopes that the herp does all the derping I want it to.</p>,,2010-10-19 15:56:31.227 UTC,2019-11-27 21:35:32.933 UTC,"Littleton, CO",10670,727,243,1127,https://www.gravatar.com/avatar/f4725de60c88e1b1c94456c65d349daa?s=128&d=identicon&r=PG&f=1,http://www.google.com
480870,valter,,,2010-10-17 14:15:36.487 UTC,2019-11-30 23:31:10.523 UTC,,370,22,1,82,,
482650,dubila,,,2010-10-21 07:02:30.413 UTC,2010-11-23 11:43:34.440 UTC,,679,0,0,28,,
482844,Nehbur,,,2010-10-21 10:11:37.910 UTC,2017-02-22 11:11:09.597 UTC,Netherlands,69,14,0,16,,http://www.starble.nl
483888,Ishu,<p>Working for iOS Apps (native and hybrid). </p>,,2010-10-22 06:47:47.790 UTC,2019-11-27 07:35:50.890 UTC,"Noida, India",12718,461,24,1494,https://i.stack.imgur.com/2HjWj.jpg?s=128&g=1,
485401,blake,,,2010-10-24 01:50:00.890 UTC,2012-04-17 02:17:53.777 UTC,,371,1,0,55,,
486131,Ragge,,,2010-10-25 07:01:04.313 UTC,2016-06-23 09:14:59.673 UTC,,1579,3,0,27,,
488005,Spenduku,,,2010-02-09 23:36:56.573 UTC,2019-11-18 19:27:43.433 UTC,,247,10,0,30,,
490498,Jonathan Rowny,"<p>I currently do mostly JavaScript, Java, NodeJS, React, Go, TypeScript etc.</p>",,2010-10-28 18:37:25.410 UTC,2019-10-16 18:55:41.873 UTC,"Virginia, USA",7515,182,10,2550,,http://www.jonathanrowny.com
490962,srinath,,,2010-10-29 06:39:41.523 UTC,2015-12-03 14:35:49.650 UTC,,166,1,0,15,,
493749,Chris Cashwell,"<p>I'm a serial entrepreneur, software engineer and technical consultant with a proven track record of leading geographically distributed teams and helping design and execute product development strategies that win.</p>

<p>I've built lots of different types of software in a handful of different languages, including decentralized cryptocurrency systems, cloud-based and native web and mobile apps, and tools that touch millions of consumers and tens of thousands of government employees in the US and abroad every day. In an advisory capacity I've helped companies large and small make groundbreaking innovations in diverse spaces ranging from peer-to-peer payments and consumer protection to real-time communications and telemedicine. </p>

<p>I've acted as a consultant to startups, multinational companies and everything in between to build scalable solutions to real-world problems. I've also contributed to the development of critical government systems that help keep the world just a little bit safer. Along the way, I've helped secure numerous US government contracts and grant awards, as well as more than $300 million in private capital. For the last several years I've been heavily focused on digital currency and distributed ledger technologies with particularly deep experience building on Ethereum.</p>",,2010-11-01 15:38:11.337 UTC,2019-11-29 18:27:09.970 UTC,"New York, NY, USA",19614,708,155,1222,https://www.gravatar.com/avatar/415fb73080f1d9f0922c80153f8e95a6?s=128&d=identicon&r=PG,https://linkedin.com/in/ccashwell
493972,moffepoffe,,,2010-11-01 19:22:10.180 UTC,2019-03-29 10:36:57.637 UTC,"Stockholm, Sweden",342,37,0,69,,http://www.sidfalkborgstrom.com
495049,Daniel Assange,,,2010-11-02 17:30:14.393 UTC,2011-04-02 03:18:22.913 UTC,Australia,121,0,0,49,,http://www.lemma.org/
496564,nak5ive,<p>i do things</p>,,2010-11-03 22:43:34.160 UTC,2019-11-20 21:16:17.137 UTC,"St Louis, MO",1833,10,0,48,,http://nak5.com
497125,geekbeing,,,2010-11-04 12:01:33.803 UTC,2017-03-05 19:24:30.653 UTC,"Cracow, Poland",349,4,0,43,,http://www.geekbeing.com
497628,Baps,,,2010-11-04 19:29:27.863 UTC,2019-11-28 16:44:55.743 UTC,,103,10,0,24,,
498622,James Thompson,"<p>I'm a programmer from Morrisville, Vermont. I make custom enterprise software for businesses and blog at <a href=""http://jtgraphic.net"" rel=""nofollow"">http://jtgraphic.net</a></p>",,2010-11-05 17:50:38.917 UTC,2019-08-17 19:38:27.113 UTC,"Morrisville, VT",1037,52,6,105,,http://jtgraphic.net
500162,Julien Crozon,,,2010-11-07 23:08:37.490 UTC,2014-03-16 17:24:07.013 UTC,"Paris, France",106,16,0,56,,http://bugslasher.net/
500686,Milad Sobhkhiz,<p>A Software Engineering Student.........</p>,,2010-11-08 12:55:58.600 UTC,2019-11-26 09:50:44.557 UTC,"Rasht, Iran",779,174,0,256,,http://www.Azadlahijan.com
501439,GeneCode,"<p>I make apps on Windows with Qt &amp; Lazarus
I make apps and games on iOS with XCode
I write scripts on Linux with Bash</p>

<p><a href=""https://itunes.apple.com/us/developer/emir-fithri-bin-samsuddin/id336547457"" rel=""nofollow noreferrer"">https://itunes.apple.com/us/developer/emir-fithri-bin-samsuddin/id336547457</a></p>

<p>I also write blog.
<a href=""https://xcodenoobies.blogspot.com"" rel=""nofollow noreferrer"">https://xcodenoobies.blogspot.com</a></p>",,2010-11-09 03:34:20.903 UTC,2019-11-30 11:24:37.110 UTC,Earth,6772,882,146,1601,https://i.stack.imgur.com/Vq6Nw.jpg?s=128&g=1,http://xcodenoobies.blogspot.com
505206,adotout,,,2010-11-12 00:11:45.570 UTC,2019-11-22 18:37:35.570 UTC,,1022,27,3,44,,
506559,nkm,<p>Web application developer working in bangalore.</p>,,2010-11-13 07:30:10.023 UTC,2019-11-29 16:06:18.250 UTC,"Bangalore, India",5206,423,9,220,,http://about.me/nithyanandankm
507950,dodgy_coder,"<p>I'm an Australian software developer. Programming in C#, WPF, Android and Java. Big Raspberry Pi fan. I'm on twitter <a href=""http://twitter.com/dodgy_coder"" rel=""nofollow"">@dodgy_coder</a> and write a blog at <a href=""http://dodgycoder.net"" rel=""nofollow"">dodgycoder.net</a></p>",,2010-11-15 07:16:14.047 UTC,2019-11-28 08:01:53.387 UTC,Australia,10629,1642,18,908,,http://www.dodgycoder.net
508486,Robert,"<p>I'm a developer from Brooklyn, NY with a Master's degree in Computer Science.  I have over 15 years of experience with all sorts of programming languages, including VB.NET, VB6, C++, RPG/400, all of which were a LONG time ago.  More recently I've been working in C#, ASP.NET, jQuery, and Objective C.</p>

<p>Part of the journey of growing as a developer is admitting you're not as smart as you claim to be, and actively decide to do something about it.</p>",,2010-11-15 16:19:44.387 UTC,2019-11-27 17:51:10.173 UTC,"Brooklyn, NY",112,25,0,32,https://i.stack.imgur.com/kbPtq.jpg,
509043,Ricky Cook,,,2010-11-16 03:27:48.713 UTC,2019-11-23 07:25:36.910 UTC,"Melbourne, Australia",810,89,16,31,,
509388,Helmut Zechmann,,,2010-11-16 10:43:50.123 UTC,2018-08-23 12:12:37.693 UTC,Germany,894,74,2,78,https://i.stack.imgur.com/xiMm3.jpg,http://www.helmutzechmann.com
510355,G Huxley,<p>Driven by Creativity. Software Team Leader and Product Commercialisation Engineer</p>,,2010-11-17 04:17:04.453 UTC,2019-11-27 21:15:54.987 UTC,,963,413,23,79,,https://www.linkedin.com/in/garthhuxley
510459,IUnknown,,,2010-11-17 07:02:13.377 UTC,2019-11-30 01:21:35.533 UTC,"Pune, India",820,41,0,85,,http://geekswithblogs.net/IUnknown
510480,OneDerr Siva,<p>A programmer. </p>,,2010-11-17 07:22:25.217 UTC,2013-01-12 10:54:36.460 UTC,"Coimbatore, India",207,4,0,41,,http://www.mycityway.com
510635,frow,,,2010-11-17 10:12:45.437 UTC,2019-11-24 16:05:11.133 UTC,"Munich, Germany",844,6,0,129,,
511847,geting,,,2010-11-18 08:36:03.370 UTC,2016-09-05 03:13:39.093 UTC,,131,6,0,21,,
512440,Paris Hilton,<p>pretty and rich</p>,,2010-11-18 16:53:58.990 UTC,2011-05-26 07:45:07.803 UTC,,35,2,0,24,,
513591,Kyle Savage,<p>Full-stack JS &amp; .Net developer with interests in Open Source.</p>,,2010-11-19 14:34:27.630 UTC,2019-11-26 21:52:57.350 UTC,"Charlottesvile, VA",784,79,3,54,,http://savage.codes
513850,Merrill,,,2010-11-19 18:18:57.577 UTC,2010-12-28 20:27:43.963 UTC,,6248,0,0,73,,
515568,Shamrocker,,,2010-11-22 03:03:05.357 UTC,2016-05-27 15:01:09.303 UTC,,121,9,0,59,,
517669,NPVN,,,2010-11-23 15:58:18.800 UTC,2010-12-08 13:42:49.817 UTC,,95,0,0,68,,
518138,user518138,,,2010-11-23 23:03:38.717 UTC,2015-06-19 15:37:35.947 UTC,,241,1,0,31,,
518491,Andi,,,2010-11-24 08:27:27.013 UTC,2019-11-28 18:45:13.860 UTC,"Munich, Germany",1757,296,1,79,https://i.stack.imgur.com/anHUr.png,http://www.xenoage.com
518895,Tim R.,,,2010-11-24 14:05:44.520 UTC,2011-01-18 13:26:56.220 UTC,,141,0,0,31,,
519020,Alexander Guz,,,2010-11-24 15:33:49.230 UTC,2019-11-29 15:04:21.230 UTC,"Berlin, Germany",1076,272,67,174,https://i.stack.imgur.com/iUbzG.png?s=128&g=1,https://guzalexander.com
519087,Mavin,,,2010-11-24 16:20:59.187 UTC,2010-11-29 05:56:09.403 UTC,,2391,0,0,64,,
520031,dks1725,,,2010-11-25 11:04:30.160 UTC,2011-08-04 13:07:52.563 UTC,India,1631,31,0,91,,
520342,Nick,,,2010-11-25 15:26:14.223 UTC,2018-10-15 08:06:10.817 UTC,,595,2,0,45,,
522476,S P Arif Sahari Wibowo,"<p><a href=""http://www.arifsaha.com/"" rel=""nofollow"">http://www.arifsaha.com/</a></p>

<p><a href=""http://resume.arifsaha.com/"" rel=""nofollow"">http://resume.arifsaha.com/</a></p>",,2010-11-27 18:56:30.943 UTC,2019-10-28 23:12:52.823 UTC,,149,15,0,24,,http://www.arifsaha.com/
523256,natiz,,,2010-11-28 22:26:42.277 UTC,2019-11-30 10:19:10.813 UTC,,523,56,4,57,,
524433,Vanddel,,,2010-11-29 22:15:10.857 UTC,2019-11-18 23:26:28.480 UTC,Egypt,1024,49,1,860,,http://amanisalah.blogspot.com
525114,John,,,2010-11-30 12:04:30.910 UTC,2019-07-15 13:53:43.507 UTC,,698,4,1,83,https://i.stack.imgur.com/FiUPF.jpg,
526402,slothy,<p>Ni!</p>,,2010-12-01 10:30:07.547 UTC,2019-10-18 10:02:15.100 UTC,Rivendell,246,77,0,22,,
526582,Jonas Schnelli,"<p>Bitcoin Core Developer / Co-Founder of digitalbitbox.com / Author of libbtc / C,C++,Obj-C Pro / Cypherpunk / Hacker</p>",,2010-12-01 13:14:48.463 UTC,2019-08-15 14:52:38.443 UTC,"Basel-City/Zurich, Switzerland",9591,81,18,684,,https://bitcoin.jonasschnelli.ch
526598,jef,,,2010-12-01 13:24:28.170 UTC,2019-11-22 10:50:42.427 UTC,,117,7,0,38,,http://blog.binomed.fr
528173,Vincent Giguère,,,2010-12-02 15:34:02.930 UTC,2017-10-19 15:08:21.423 UTC,,730,5,0,38,,
529801,Nightwolf,,,2010-12-03 19:30:29.323 UTC,2019-12-01 02:32:18.813 UTC,,3574,26,4,64,https://i.stack.imgur.com/v9FrM.png,
